epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.314,1.02676,2.20677,1.44762,0.58232,0.08582,0.25601,0.138,1.25573,2.96879,1.70079,0.00056,0.00056,0.00056
2,425.776,1.1556,1.96508,1.50613,0.33295,0.35769,0.26825,0.1258,1.68678,2.724,2.09695,0.00111743,0.00111743,0.00111743
3,628.841,1.23609,1.92107,1.57753,0.29227,0.29231,0.23545,0.1031,1.81963,2.69754,2.20702,0.00165189,0.00165189,0.00165189
4,818.042,1.31799,1.94003,1.66579,0.33582,0.24615,0.19384,0.07988,2.01044,3.19394,2.67024,0.0018812,0.0018812,0.0018812
5,1000.21,1.35426,1.97045,1.69688,0.38319,0.28077,0.23559,0.09955,1.82519,2.89074,2.57371,0.0018416,0.0018416,0.0018416
6,1183.62,1.32935,1.87738,1.69705,0.20344,0.25,0.13865,0.06247,2.1597,2.66869,2.46637,0.001802,0.001802,0.001802
7,1367.54,1.36016,1.85572,1.75078,0.49702,0.31154,0.30739,0.13007,1.79301,2.58122,2.18827,0.0017624,0.0017624,0.0017624
8,1553.32,1.28434,1.76989,1.64384,0.06448,0.19231,0.02906,0.0116,1.89537,7.50391,2.46425,0.0017228,0.0017228,0.0017228
9,1736.77,1.27315,1.76099,1.63273,0.37474,0.39231,0.32356,0.14109,1.74401,2.43413,2.17232,0.0016832,0.0016832,0.0016832
10,1917.18,1.27795,1.71948,1.63664,0.413,0.43077,0.35065,0.16577,1.69715,2.37803,2.10219,0.0016436,0.0016436,0.0016436
11,2098.54,1.26561,1.75699,1.66053,0.42404,0.41538,0.35578,0.18369,1.65423,2.31095,2.04345,0.001604,0.001604,0.001604
12,2279.5,1.24628,1.69526,1.60812,0.48182,0.42692,0.38455,0.20004,1.63157,2.14189,2.07145,0.0015644,0.0015644,0.0015644
13,2461.32,1.20249,1.65645,1.63759,0.48057,0.45769,0.42363,0.2109,1.60538,2.08134,2.01728,0.0015248,0.0015248,0.0015248
14,2649.22,1.1898,1.61042,1.55587,0.52731,0.41538,0.41791,0.23402,1.526,2.01226,1.96999,0.0014852,0.0014852,0.0014852
15,2833.17,1.20398,1.56844,1.62241,0.53504,0.39833,0.40464,0.21611,1.48938,2.07482,1.88834,0.0014456,0.0014456,0.0014456
16,3016.29,1.12315,1.49477,1.52181,0.51133,0.44231,0.41439,0.21088,1.52427,2.15712,1.93398,0.001406,0.001406,0.001406
17,3200,1.17697,1.49377,1.61188,0.41406,0.40385,0.34017,0.1734,1.50985,2.11324,1.90221,0.0013664,0.0013664,0.0013664
18,3384.7,1.12515,1.50503,1.52712,0.4991,0.50587,0.44938,0.23959,1.4488,1.88002,1.85504,0.0013268,0.0013268,0.0013268
19,3568.37,1.06508,1.41176,1.48704,0.65179,0.4,0.48024,0.25542,1.46395,1.9398,1.90982,0.0012872,0.0012872,0.0012872
20,3750.65,1.07783,1.40813,1.48507,0.4205,0.38514,0.35342,0.18277,1.54673,2.30023,2.0211,0.0012476,0.0012476,0.0012476
21,3935.66,1.07547,1.47658,1.49314,0.58811,0.45,0.45178,0.26475,1.40122,1.92018,1.77596,0.001208,0.001208,0.001208
22,4119.05,1.04066,1.3914,1.45886,0.46552,0.48574,0.46013,0.24646,1.41566,2.0049,1.848,0.0011684,0.0011684,0.0011684
23,4303.41,1.02276,1.31565,1.44308,0.49356,0.45769,0.44154,0.26087,1.38698,1.88881,1.76423,0.0011288,0.0011288,0.0011288
24,4490.21,1.04192,1.3226,1.4506,0.65734,0.46538,0.5362,0.30273,1.35202,1.78568,1.7668,0.0010892,0.0010892,0.0010892
25,4674.54,0.97738,1.25087,1.41021,0.62911,0.51538,0.54463,0.31128,1.37398,1.78852,1.74803,0.0010496,0.0010496,0.0010496
26,4859.58,0.96832,1.27282,1.41297,0.55375,0.47727,0.50409,0.27841,1.37875,1.85665,1.78133,0.00101,0.00101,0.00101
27,5042.15,0.99755,1.32278,1.46149,0.51085,0.44231,0.43686,0.24839,1.37236,1.97557,1.75826,0.0009704,0.0009704,0.0009704
